Date,CO AQI Value,NO2 AQI Value,Ozone AQI Value,SO2 AQI Value,Target
8/28/2020,2,0,26,0,New York
8/29/2020,2,0,26,0,New York
8/30/2020,2,0,23,0,New York
8/31/2020,2,0,24,0,New York
9/1/2020,2,0,23,0,New York
9/2/2020,3,0,43,0,New York
9/3/2020,3,0,34,0,New York
9/4/2020,3,0,33,0,New York
9/5/2020,2,0,50,0,New York
9/6/2020,2,0,32,0,New York
9/7/2020,2,0,35,0,New York
9/8/2020,3,0,30,0,New York
9/9/2020,3,0,19,0,New York
9/10/2020,3,0,25,0,New York
9/11/2020,3,0,26,0,New York
9/12/2020,2,0,26,0,New York
9/13/2020,2,0,23,0,New York
9/14/2020,2,0,22,0,New York
9/15/2020,2,0,25,0,New York
9/16/2020,2,0,22,0,New York
9/17/2020,3,0,24,0,New York
9/18/2020,3,0,27,0,New York
9/19/2020,2,0,26,0,New York
9/20/2020,2,0,24,0,New York
9/21/2020,2,0,31,0,New York
9/22/2020,2,0,41,0,New York
9/23/2020,3,0,30,0,New York
9/24/2020,5,0,41,0,New York
9/25/2020,6,0,34,0,New York
9/26/2020,5,0,29,0,New York
9/27/2020,3,0,27,0,New York
9/28/2020,2,0,18,0,New York
9/29/2020,3,0,28,0,New York
9/30/2020,3,0,25,0,New York
10/1/2020,3,0,28,0,New York
10/2/2020,3,0,25,0,New York
10/3/2020,2,0,31,0,New York
10/4/2020,3,0,32,0,New York
10/5/2020,3,0,35,0,New York
10/6/2020,5,0,36,0,New York
10/7/2020,3,0,23,0,New York
10/8/2020,2,0,29,0,New York
10/9/2020,3,0,23,0,New York
10/10/2020,5,0,22,0,New York
10/11/2020,3,0,22,0,New York
10/12/2020,2,0,16,0,New York
10/13/2020,3,0,27,0,New York
10/14/2020,3,0,40,0,New York
10/15/2020,5,0,22,0,New York
10/16/2020,3,0,26,0,New York
10/17/2020,3,0,27,0,New York
10/18/2020,8,0,29,0,New York
10/19/2020,7,0,14,0,New York
10/20/2020,6,0,14,0,New York
10/21/2020,6,0,13,0,New York
10/22/2020,6,0,29,0,New York
10/23/2020,6,0,19,0,New York
10/24/2020,3,0,19,0,New York
10/25/2020,3,0,18,0,New York
10/26/2020,5,0,16,0,New York
10/27/2020,5,0,6,0,New York
10/28/2020,5,0,19,0,New York
10/29/2020,5,0,16,0,New York
10/30/2020,3,0,20,0,New York
10/31/2020,3,0,21,0,New York
11/1/2020,3,0,28,0,New York
11/2/2020,2,0,22,0,New York
11/3/2020,3,0,22,0,New York
11/4/2020,7,0,17,0,New York
11/5/2020,6,0,20,0,New York
11/6/2020,6,0,35,0,New York
11/7/2020,7,0,22,0,New York
11/8/2020,13,0,16,0,New York
11/9/2020,13,0,18,0,New York
11/10/2020,9,0,15,0,New York
11/11/2020,5,0,17,0,New York
11/12/2020,3,0,11,0,New York
11/13/2020,3,0,25,0,New York
11/14/2020,3,0,34,0,New York
11/15/2020,5,0,26,0,New York
11/16/2020,5,0,25,0,New York
11/17/2020,5,0,26,0,New York
11/18/2020,2,0,19,0,New York
11/19/2020,5,0,12,0,New York
11/20/2020,5,0,21,0,New York
11/21/2020,5,0,24,0,New York
11/22/2020,3,0,24,0,New York
11/23/2020,3,0,21,0,New York
11/24/2020,3,0,18,0,New York
11/25/2020,5,0,23,0,New York
11/26/2020,5,0,19,0,New York
11/27/2020,5,0,19,0,New York
11/28/2020,3,0,14,0,New York
11/29/2020,5,0,29,0,New York
11/30/2020,5,0,14,0,New York
12/1/2020,5,0,18,0,New York
12/2/2020,2,0,11,0,New York
12/3/2020,5,0,8,0,New York
12/4/2020,5,0,19,0,New York
12/5/2020,5,0,25,0,New York
12/6/2020,2,0,20,0,New York
12/7/2020,3,0,8,0,New York
12/8/2020,2,0,19,0,New York
12/9/2020,5,0,12,0,New York
12/10/2020,5,0,22,0,New York
12/11/2020,8,0,22,0,New York
12/12/2020,13,0,19,0,New York
12/13/2020,6,0,19,0,New York
12/14/2020,3,0,22,0,New York
12/15/2020,2,0,25,0,New York
12/16/2020,5,0,19,0,New York
12/17/2020,3,0,9,0,New York
12/18/2020,3,0,4,0,New York
12/19/2020,7,0,4,0,New York
12/20/2020,9,0,26,0,New York
12/21/2020,10,0,20,0,New York
12/22/2020,6,0,31,0,New York
12/23/2020,5,0,32,0,New York
12/24/2020,6,0,18,0,New York
